"label","selec","start","end","path","file","threshold","ribbit"
"P",10,2483.25,2767.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210625_114302.wav","hmm",0.351512671833446
"P",13,2973.25,3598.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210625_114302.wav","hmm",0.104461649305586
"P",1,0.25,588.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210625_124302.wav","hmm",0.140966427753113
"P",6,2309.25,3528.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210625_124302.wav","hmm",0.185947955126856
"P",2,150.25,373.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210625_134302.wav","hmm",0.134659953196957
"P",6,1017.75,1554.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210625_134302.wav","hmm",0.227971837412897
"P",10,2126.25,2376.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210625_134302.wav","hmm",0.143102418585637
"P",11,3024.25,3598.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210625_134302.wav","hmm",0.0885237904965032
"P",2,373.25,581.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210625_144303.wav","hmm",0.08204481814735
"P",8,1393.25,1654.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210625_144303.wav","hmm",0.0981309155158222
"P",9,1686.25,2071.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210625_144303.wav","hmm",0.205770479419273
"P",10,2120.25,2435.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210625_144303.wav","hmm",0.214955290873405
"P",16,3110.25,3551.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210625_144303.wav","hmm",0.11760481856404
"P",6,1399.75,1904.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210625_154302.wav","hmm",0.214789175252272
"P",1,156.25,1005.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210625_164304.wav","hmm",0.138401092590458
"P",3,1126.25,1355.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210625_164304.wav","hmm",0.170175496414714
"P",12,2388.75,3089.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210625_164304.wav","hmm",0.13485287411461
"P",1,0.25,1610.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210625_174302.wav","hmm",0.0920206428455432
"P",5,2606.75,3253.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210625_174302.wav","hmm",0.139136470040789
"P",6,3288.75,3598.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210625_174302.wav","hmm",0.187147084909834
"P",1,0.75,2722.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210625_184302.wav","hmm",0.0787620019259349
"P",3,635.75,2055.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210626_054300.wav","hmm",0.101701903244699
"P",3,208.75,394.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210626_064302.wav","hmm",0.122902621551378
"P",17,2193.75,2388.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210626_064302.wav","hmm",0.268273061255029
"P",11,2916.75,3597.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210626_074303.wav","hmm",0.387509333874545
"P",1,0.25,188.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210626_084302.wav","hmm",0.540943887650641
"P",12,2495.25,2699.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210626_084302.wav","hmm",0.137264014196724
"P",12,1495.75,1763.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210626_094303.wav","hmm",0.229685742442395
"P",14,1992.25,2172.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210626_094303.wav","hmm",0.134442463445941
"P",19,2663.75,2939.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210626_094303.wav","hmm",0.105855708750666
"P",9,1434.25,1851.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210626_104304.wav","hmm",0.0933825236434726
"P",13,2506.25,2996.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210626_104304.wav","hmm",0.123780446460043
